User,LP Balance,is_contract,contract_type,events,withdrawn_eth,withdrawn_mseth,eth_to_redeem,mseth_to_redeem
0x84119e837dbeF0f4Fb877681687A2869b220533B,751118102075406742403,False,,[],0,0,2.8814166339519172e+20,4.6366366417003355e+20
0x3F3B9B0F14DEF5817a61437CCB25CcBBD4853fFD,313713495119590678150,False,,[],0,0,1.2034582586082225e+20,1.9365469723712566e+20
0xB8055B387f9eC5190c4ECB1bB209A703A1dA8A3E,179978918801010918046,False,,[],0,0,6.904297060089377e+19,1.1110061751149212e+20
0x9dd7d26c9F58fC873a5CE8E4B08393279c8eFAA0,120920741836632559540,False,,[],0,0,4.638725068070579e+19,7.464412597594813e+19
0x93d90d18C904A2EefdeB126782087c2869556fB5,110182296217797805489,False,,[],0,0,4.226780052454484e+19,6.8015305515674214e+19
0xcf3C96B0f299208B085Fd3746fFB9A6FE5482523,99910109630598020971,False,,[],0,0,3.8327215253382816e+19,6.167430579951883e+19
0xbDfA4f4492dD7b7Cf211209C4791AF8d52BF5c50,80957852313808663968,False,,[],0,0,3.105680739972528e+19,4.99751162213216e+19
0x9460a3E615919B8B1083Bd379C3172f34cd0da57,52017792320920472644,False,,[],0,0,1.9954908774107697e+19,3.211047653213459e+19
0x6C3ef2549d0Cc3A2Cc2Af56E47A0B64745338EEA,28103075013723311982,False,,[],0,0,1.0780816969527837e+19,1.7347970577868077e+19
0x8deB4a4C872418e751d00149Be60D7E44aDC18c5,24918009838474805619,False,,[],0,0,9.558971862769822e+18,1.5381836376474761e+19
0x519F7709577C94999e4C7cFaCb539CacB9EDb7b8,16502392774799712153,False,,[],0,0,6.330598198862492e+18,1.0186893220113822e+19
0x55D4D190914cEFeCD37Ad6B67781Af942EFA55fE,10574088012409887914,False,,[],0,0,4.056399786350859e+18,6.527362846859187e+18
0x367Eac14fb665822F6CAaffaC33C95D381242871,6984766997011954775,False,,[],0,0,2.679475272112151e+18,4.3116823443077596e+18
0x288316D0722458ccf10c84c7C4c756660CDd9a2b,6493681120054679859,False,,[],0,0,2.4910863875074903e+18,4.008536039481644e+18
0xE3951d2D7c0feC89FE6BDADe310B04AF95927bA1,4997043412403128016,False,,[],0,0,1.9169507390773435e+18,3.0846646515503073e+18
0x11442B0BD8131C105787Ed8AD94b3Cfa43d0Aed5,1497897995237760670,False,,[],0,0,5.746191161570504e+17,9.246493608739612e+17
0x5Ef603E507D4a6D3ce525c80848f039f725f83Af,46971875562635609,True,,[],0,0,1.8019209389325852e+16,2.899564246439106e+16
0x2b0F83D2060EAf7314dBeb3F1AFff2589a9283d8,9696260209847928,True,,[],0,0,3719650129398301.0,5985481544409435.0
